nflId,height,weight,birthDate,collegeName,officialPosition,displayName,gameId,playId,nflId:1,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,21,2021-09-10T00:26:33.100,76.0,TB,right,37.54,27.7,2.88,1.69,0.29,329.72,261.57,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,22,2021-09-10T00:26:33.200,76.0,TB,right,37.21,27.5,3.13,2.12,0.39,325.82,249.7,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,23,2021-09-10T00:26:33.300,76.0,TB,right,36.9,27.34,3.21,2.2,0.35,328.03,243.75,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,24,2021-09-10T00:26:33.400,76.0,TB,right,36.62,27.19,3.19,1.98,0.32,329.31,239.82,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,25,2021-09-10T00:26:33.500,76.0,TB,right,36.34,26.96,3.27,2.03,0.35,327.33,233.74,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,26,2021-09-10T00:26:33.600,76.0,TB,right,36.08,26.7,3.41,2.03,0.38,319.02,227.84,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,27,2021-09-10T00:26:33.700,76.0,TB,right,35.81,26.47,3.41,1.68,0.35,316.24,225.55,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,28,2021-09-10T00:26:33.800,76.0,TB,right,35.58,26.23,3.33,1.61,0.34,315.03,223.15,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,29,2021-09-10T00:26:33.900,76.0,TB,right,35.28,25.97,3.45,1.26,0.39,309.76,224.03,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,30,2021-09-10T00:26:34.000,76.0,TB,right,35.03,25.73,3.37,1.36,0.35,312.34,223.74,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,31,2021-09-10T00:26:34.100,76.0,TB,right,34.81,25.49,3.2,1.7,0.33,314.11,223.18,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,32,2021-09-10T00:26:34.200,76.0,TB,right,34.65,25.26,2.86,2.25,0.27,317.74,219.61,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,33,2021-09-10T00:26:34.300,76.0,TB,right,34.51,25.05,2.53,2.6,0.26,313.58,215.83,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,34,2021-09-10T00:26:34.400,76.0,TB,right,34.39,24.85,2.25,3.09,0.24,307.44,212.43,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,35,2021-09-10T00:26:34.500,76.0,TB,right,34.29,24.66,2.01,2.82,0.22,302.48,206.96,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,36,2021-09-10T00:26:34.600,76.0,TB,right,34.2,24.49,1.77,2.46,0.19,302.48,204.86,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,37,2021-09-10T00:26:34.700,76.0,TB,right,34.13,24.35,1.55,2.15,0.16,302.48,202.74,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,38,2021-09-10T00:26:34.800,76.0,TB,right,34.07,24.22,1.34,1.89,0.14,302.48,202.28,autoevent_passforward
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,39,2021-09-10T00:26:34.900,76.0,TB,right,33.98,24.15,1.08,1.74,0.11,302.48,212.51,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,40,2021-09-10T00:26:35.000,76.0,TB,right,33.9,24.09,0.9,1.64,0.1,300.14,219.81,pass_forward
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,41,2021-09-10T00:26:35.100,76.0,TB,right,33.83,24.03,0.81,1.46,0.09,260.89,229.61,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,42,2021-09-10T00:26:35.200,76.0,TB,right,33.74,23.99,0.79,1.31,0.1,204.71,242.85,None
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,2021090900,97,42377.0,43,2021-09-10T00:26:35.300,76.0,TB,right,33.64,23.95,0.85,1.01,0.1,150.01,250.49,None
